#Name	RON	PubChem	>= 1 O	>= 1 any ring size 3	>= 1 any ring size 5	>= 1 any ring size 6	>= 1 any ring size 7	>= 1 any ring size 8	>= 1 aromatic ring	>= 1 hetero-aromatic ring	>= 1 saturated or aromatic carbon-only ring size 3	>= 1 saturated or aromatic carbon-only ring size 5	>= 1 saturated or aromatic carbon-only ring size 6	>= 1 saturated or aromatic carbon-only ring size 7	>= 1 saturated or aromatic carbon-only ring size 8	>= 1 saturated or aromatic heteroatom-containing ring size 5	>= 16 H	>= 2 O	>= 4 C	>= 8 C	>= 8 H	Auto-Ignition	Boiling Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined Bond Stereocenter Count	Density	Exact Mass	Flash Point	Heavy Atom Count	Hydrogen Bond Acceptor Count	Hydrogen Bond Donor Count	LogP	Melting Point	Molecular Weight	Monoisotopic Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	PubChem	Rotatable Bond Count	Topological Polar Surface Area	Undefined Atom Stereocenter Count	Undefined Bond Stereocenter Count	Vapor Density	Vapor Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
2-Methylbutane	92.3	6556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	420	27.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0.6201	72.0939	-60	5	0	0	2.72	-159.77	72.14878	72.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6556	1	0	0	0	2.48	689	1.99811	2.6	0	0	0
2-methylpropan-1-ol	105	6560	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	415	108	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6	0	0.8018	74.07317	28	5	1	1	0.76	-108	74.1216	74.07317	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6560	1	20.2	0	0	2.56	10.4	0.8	2.29929	0	1	0
2-butanol	107	6568	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	763	99.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6	0	0.8063	74.07317	24	5	1	1	0.61	-114	74.1216	74.07317	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6568	1	20.2	1	0	2.6	18.3	0.6	2.35302	0	1	0
2-Butanone	105.3	6569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	505	79.59	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38.9	0	0.805	72.05751	-8.88889	5	1	0	0.29	-86.67	72.10572	72.05751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6569	1	17.1	0	0	2.41	90.6	0.3	3.46226	0	0	0
Methyl acetate	120	6584	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	454.44444	56.7	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	40.2	0	0.9342	74.03678	-10	5	2	0	0.18	-98.2	74.07854	74.03678	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6584	1	26.3	0	0	2.55	216.2	0.2	3.92393	0	0	0
"2,3-Dimethylbutane"	104.3	6589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	761	57.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0.6616	86.10955	-20	6	0	0	3.42	-128.8	86.17536	86.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6589	1	0	0	0	3	235	3.4	2.7805	0	0	0
O-Xylene	120	7237	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	463.88889	144.5	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	56.4	0	0.8801	106.07825	17.22222	8	0	0	3.12	-25.2	106.165	106.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7237	0	0	0	0	3.7	6.61	3.1	3.34995	1	0	1
3-Methylpentane	74.5	7282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	277.77778	63.271	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.2	0	0.66431	86.10955	20	6	0	0	3.6	-162.9	86.17536	86.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7282	2	0	0	0	3	190	3.40839	3.2	0	0	0
3-Pentanone	103	7288	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	450	101.7	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41.9	0	0.8098	86.07317	13	6	1	0	0.99	-39	86.1323	86.07317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7288	2	17.1	0	0	3	37.7	2.16511	0.9	0	0	0
Methylcyclopentane	89.3	7296	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	496	71.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0.7486	84.0939	20	6	0	0	3.37	-142.5	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7296	0	0	0	0	2.9	138	3.4	2.99626	0	0	0
Ethyl 2-methylpropanoate	110.3	7342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	471.05643	101.88029	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	76.6	0	0.86721	116.08373	70	8	2	0	2.1342	-98.98087	116.15828	116.08373	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7342	3	26.3	0	0	1.70752	4227.15788	2.19747	1.5	0	0	0
1-Isopropyl-4-methylcyclohexane	67.3	7459	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	417.96182	170.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	86.2	0	0.8039	140.1565	-22.09814	10	0	0	2.36091	-89.84	140.2658	140.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7459	1	0	0	0	2.33812	2391.79188	2.27514	4.5	0	0	0
para-Cymene	67.3	7463	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	436	177.1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	1	86.2	0	0.8573	134.10955	47.22222	10	0	0	4.1	-68.9	134.21816	134.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7463	1	0	0	0	4.62	1.5	4.1	4.01457	1	0	1
Ethylbenzene	107	7500	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	810	136.1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	51.1	0	0.867	106.07825	12.8	8	0	0	3.15	-94.9	106.165	106.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7500	1	0	0	0	3.66	9.6	3.1	3.58434	1	0	1
Methoxybenzene	103.3	7519	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	887	155.5	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	55.4	0	0.9956	108.05751	125	8	1	0	2.11	-37.3	108.13782	108.05751	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	7519	1	9.2	0	0	3.72	0.472	2.1	3.70602	1	0	1
Propylbenzene	111	7668	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	450	159.2	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	60.4	0	0.862	120.0939	30	9	0	0	3.69	-99.5	120.19158	120.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7668	2	0	0	0	4.14	3.42	3.7	3.08329	1	0	1
Ethyl buanoate	115.4	7762	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	462.77778	120.5	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	68.9	0	0.8735	116.08373	23.88889	8	2	0	1.85	-97	116.15828	116.08373	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7762	4	26.3	0	0	4	14	3.71736	1.3	0	0	0
Butane	94	7843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	287.77778	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.573	58.07825	-76	4	0	0	2.89	-138.3	58.1222	58.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7843	1	0	0	0	2.046	1820	2.9	3.92154	0	0	0
1-Butene	98.8	7844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	725	-6.47	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0.577	56.0626	-9.85728	4	0	0	2.4	-185.3	56.10632	56.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7844	1	0	0	0	1.93	2253	2.4	3.69577	1	0	1
