#Name	PubChem	Cetane	Weight
1-methylnaphthalene	7002	0	0.208
cis-decalin	7044	40.5	1
naphthalene	931	22	0.185
2-methylnaphthalene	7055	6	0.185
bicyclohexyl	7094	50.2	0.227
biphenyl	7095	21	0.227
1,2-dimethylbenzene	7237	8.3	0.208
1,2,4-trimethylbenzene	7247	8.9	1
diethyl oxalate	7268	21	0.185
3-methylpentane	7282	30	0.208
methylcyclopentane	7296	17.2	1
tert-butyl benzene	7366	0	0.185
isopropyl benzene	7406	7	0.185
m-diisopropylbenzene	7450	-3	0.208
1-methyl-4-isopropylbenzene	7463	4	0.185
bisabolene	3033866	32.2	1
isopentanol	31260	18.4	1
hexylmethyl ether	78484	99.8	1
methyl-9-decenoate	1778877	38.3	1
methyl gamma-linolenate	6439889	29.2	1
methyl alpha-linolenate	5319706	22.7	1
methyl-5(Z)8(z)11(Z)14(Z)-eicosatetraenoate	6421258	29.6	1
methyl gondoate	5463047	73.2	1
3-ethyldecane	529827	48	0.227
4-propyldecane	529908	39	0.227
7-butyltridecane	530347	70	0.227
8-propylpentadecane	530278	48	0.227
5,6-dibutyldecane	529909	30	0.227
8-propylpentadecane	530278	48	0.227
9,10-dimethyloctadecane	530173	60	0.227
7-hexylpentadecane	91342400	83	0.227
9,10-dipropyloctadecane	530183	47	0.227
9-heptylheptadecane	528546	88	0.227
n-propyldecalin	145229	45	0.227
n-octyldecalin	141998	31	0.227
2-cyclohexyl- tetradecane	15715	57	0.227
5-cyclohexyleicosane	311971	66	0.227
2,6,7-trimethyl-2,6-tridecadiene	102247765	24	0.227
n-propyltetralin	297000	8	0.227
7-phenyltridecane	16980	41	0.227
5-phenyleicosane	16983	39	0.227
diethoxybutane	77225	97	0.185
decyl valerate	79553	61	0.185
dodecyl valerate	545395	67	0.185
